Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers
2027-01-01,Information and communication,Female,6102.163439176874,25274.21048309949,6204.955856543511
2024-01-01,Financial and insurance activities,Female,8390.071816528227,27162.015335618624,8275.512015184968
2025-01-01,Financial and insurance activities,Female,10418.265748819893,27164.089565479517,10446.381487310833
2026-01-01,Financial and insurance activities,Female,9802.410631632394,27592.467380670045,9898.7236156867
2027-01-01,Financial and insurance activities,Female,9330.845449340726,28028.27464432697,9435.158517500065
2024-01-01,Real estate activities,Female,2011.6338070244785,21832.381578169843,1959.582085235147
2025-01-01,Real estate activities,Female,2523.2114453708327,21841.658983303772,2507.8353489204437
2026-01-01,Real estate activities,Female,2439.601349342187,22362.55608283841,2445.6898088948024
2027-01-01,Real estate activities,Female,2352.525602271874,22686.94570711097,2367.7950012910364
2024-01-01,"Professional, scientific and technical activities",Female,4681.754956490513,15202.218218794842,4519.475006028728
2025-01-01,"Professional, scientific and technical activities",Female,5889.1408809696795,15383.869398492308,5805.198519353454
2026-01-01,"Professional, scientific and technical activities",Female,5561.245744250929,15816.978532266425,5520.068761193804
2027-01-01,"Professional, scientific and technical activities",Female,5326.518992948846,16049.32287854253,5299.905311627905
2024-01-01,Administrative and support service activities,Female,23467.318247313655,9610.613345424108,23227.33520870621
2025-01-01,Administrative and support service activities,Female,27863.334236896986,9469.149246427576,28078.008851690767
2026-01-01,Administrative and support service activities,Female,25936.00889835532,9475.236158472177,26455.514525925326
2027-01-01,Administrative and support service activities,Female,24618.22233585532,9615.677810046138,25283.207700159885
2024-01-01,Public administration and defence; compulsory social security,Female,22682.465290566324,27314.331104138433,22477.0699997841
2025-01-01,Public administration and defence; compulsory social security,Female,27979.83242598299,27341.08349270568,28094.018098752975
2026-01-01,Public administration and defence; compulsory social security,Female,25447.633962441323,27974.167194276146,25682.782603971846
2027-01-01,Public administration and defence; compulsory social security,Female,23775.30487389966,28392.52133445273,23933.677968565717
2024-01-01,Education,Female,41004.91445616639,24219.851516337494,40509.90631545966
2025-01-01,Education,Female,50011.62515929139,24345.454635956434,50066.98712350953
2026-01-01,Education,Female,45102.21687804139,24829.293577631735,45486.58941593439
2027-01-01,Education,Female,42208.0818780414,25212.672410365514,42520.590145859256
2024-01-01,Human health and social work activities,Female,36364.104614940086,19943.331135752152,35911.52585832225
2025-01-01,Human health and social work activities,Female,43114.19656806509,20192.676310910596,43229.122431850694
2026-01-01,Human health and social work activities,Female,40264.78326077342,20855.554600680603,40710.58814600413
2027-01-01,Human health and social work activities,Female,37909.14591702342,21236.974656583825,38409.85464140757
2024-01-01,"Arts, entertainment and recreation",Female,2915.6361647328094,22122.11724265585,2885.1238622320884
2025-01-01,"Arts, entertainment and recreation",Female,3640.250043313539,22421.787028409995,3676.1195091690242
2026-01-01,"Arts, entertainment and recreation",Female,3522.4990537302056,23007.73533581792,3584.748212746585
2027-01-01,"Arts, entertainment and recreation",Female,3366.3814918812473,23451.06712103396,3441.101525699146
2024-01-01,Other service activities,Female,4811.492295862297,8567.303368729572,4774.217800881502
2025-01-01,Other service activities,Female,6261.017416305006,8701.669662238919,6323.30109460326
2026-01-01,Other service activities,Female,5570.515098596672,8756.344030549964,5676.408314106268
2027-01-01,Other service activities,Female,5420.6294150029225,8865.329347322426,5527.833892984277
2024-01-01,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Female,101492.36792338511,3033.0749626595634,100086.59817269898
2025-01-01,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Female,125393.37677755178,3037.923665005431,124849.93381540144
