Year,Economic activity,Female Salary,Male Salary,Female Paid Workers,Male Paid Workers,Salary gap,Women are paid,Absolute gap,Weighted Total
1/1/2014,"Professional, scientific and technical activities",16883,11367,1617,26358,-5516,more,5516,25178
1/1/2014,Public administration and defence; compulsory social security,21323,25786,15592,82335,4463,less,4463,59345
1/1/2014,Real estate activities,19407,14556,603,10875,-4851,more,4851,11214
1/1/2014,Transportation and storage,16228,12344,9122,45020,-3884,more,3884,32785
1/1/2014,"Water supply; sewerage, waste management and remediation activities",16950,11965,549,13147,-4985,more,4985,13314
1/1/2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,10629,8328,7098,187604,-2301,more,2301,106172
1/1/2015,Accommodation and food service activities,12476,8691,13180,37756,-3785,more,3785,22522
1/1/2015,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2909,2682,105177,57199,-227,more,227,4259
1/1/2015,Administrative and support service activities,12244,7643,4085,51580,-4601,more,4601,37879
1/1/2015,"Agriculture, forestry and fishing",0,5186,0,23867,5186,less,5186,23867
1/1/2015,"Arts, entertainment and recreation",22153,15501,1498,13061,-6652,more,6652,13862
1/1/2015,Construction,17032,5951,4514,778682,-11081,more,11081,450150
1/1/2015,Education,20199,19771,34620,15970,-428,more,428,18662
1/1/2015,"Electricity, gas, steam and air conditioning supply",20219,21422,939,18833,1203,less,1203,18891
1/1/2015,Financial and insurance activities,20629,23465,6157,9132,2836,less,2836,11522
1/1/2015,Human health and social work activities,18263,19635,15774,14259,1372,less,1372,16043
1/1/2015,Information and communication,19880,22424,3159,10320,2544,less,2544,11500
1/1/2015,Manufacturing,15323,9528,2261,132611,-5795,more,5795,110116
1/1/2015,Mining and quarrying,21613,24030,7024,94658,2417,less,2417,78136
1/1/2015,Other service activities,11331,8499,3074,10914,-2832,more,2832,11025
1/1/2015,"Professional, scientific and technical activities",16973,10619,1862,26642,-6354,more,6354,25200
1/1/2015,Public administration and defence; compulsory social security,22639,26144,17198,83684,3505,less,3505,59461
1/1/2015,Real estate activities,19945,13982,942,10931,-5963,more,5963,11500
1/1/2015,Transportation and storage,16260,12494,10783,54973,-3766,more,3766,37039
1/1/2015,"Water supply; sewerage, waste management and remediation activities",17525,13154,790,12346,-4371,more,4371,12639
1/1/2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,10380,7454,25443,224826,-2926,more,2926,58970
1/1/2016,Accommodation and food service activities,8513,5844,17274,55325,-2669,more,2669,20347
1/1/2016,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2989,2787,107621,66121,-202,more,202,4583
1/1/2016,Administrative and support service activities,8429,6636,5702,78951,-1793,more,1793,46359
1/1/2016,"Agriculture, forestry and fishing",0,5088,0,24848,5088,less,5088,24848
1/1/2016,"Arts, entertainment and recreation",21520,18915,884,5368,-2605,more,2605,6089
1/1/2016,Construction,12278,6090,6270,839136,-6188,more,6188,419686
1/1/2016,Education,23485,25044,33280,13387,1559,less,1559,19149
1/1/2016,"Electricity, gas, steam and air conditioning supply",20523,22891,1525,15844,2368,less,2368,16136
1/1/2016,Financial and insurance activities,22568,28626,5782,9602,6058,less,6058,11781
1/1/2016,Human health and social work activities,19939,22116,16170,13663,2177,less,2177,16314
1/1/2016,Information and communication,22745,28472,2460,13079,5727,less,5727,13848
1/1/2016,Manufacturing,15197,8419,2119,141666,-6778,more,6778,116235
1/1/2016,Mining and quarrying,21653,26784,6639,93635,5131,less,5131,79337
1/1/2016,Other service activities,7758,11670,4643,11318,3912,less,3912,10305
1/1/2016,"Professional, scientific and technical activities",12401,17239,3333,25268,4838,less,4838,23183
1/1/2016,Public administration and defence; compulsory social security,24210,29311,15425,71800,5101,less,5101,55391
1/1/2016,Real estate activities,18883,15922,744,10839,-2961,more,2961,11198
1/1/2016,Transportation and storage,15167,14353,10492,47917,-814,more,814,34087
1/1/2016,"Water supply; sewerage, waste management and remediation activities",17974,17353,604,8578,-621,more,621,8894
1/1/2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,9270,7644,27328,224442,-1626,more,1626,56301
1/1/2017,Accommodation and food service activities,8883,5659,18220,55567,-3224,more,3224,19946
1/1/2017,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3014,2809,108942,63464,-205,more,205,4533
1/1/2017,Administrative and support service activities,8116,6845,6922,80512,-1271,more,1271,44112
1/1/2017,"Agriculture, forestry and fishing",0,5250,0,25431,5250,less,5250,25431
1/1/2017,"Arts, entertainment and recreation",21604,19219,1130,5038,-2385,more,2385,5958
1/1/2017,Construction,12491,6296,6364,839755,-6195,more,6195,423901
1/1/2017,Education,23089,25070,33578,13152,1981,less,1981,18841
1/1/2017,"Electricity, gas, steam and air conditioning supply",21299,22702,1522,15612,1403,less,1403,15969
1/1/2017,Financial and insurance activities,23027,28422,5677,9345,5395,less,5395,11623
1/1/2017,Human health and social work activities,19819,22876,16264,16506,3057,less,3057,17883
1/1/2017,Information and communication,22438,30115,3006,13398,7677,less,7677,14218
1/1/2017,Manufacturing,14920,8680,2217,141767,-6240,more,6240,115960
1/1/2017,Mining and quarrying,22032,26272,6776,92533,4240,less,4240,78078
1/1/2017,Other service activities,7571,11705,4967,10936,4134,less,4134,9933
1/1/2017,"Professional, scientific and technical activities",12935,18236,3523,25537,5301,less,5301,23497
1/1/2017,Public administration and defence; compulsory social security,24647,29164,14943,66824,4517,less,4517,52535
1/1/2017,Real estate activities,18993,15517,669,10382,-3476,more,3476,10738
1/1/2017,Transportation and storage,15439,14014,10413,49054,-1425,more,1425,34724
1/1/2017,"Water supply; sewerage, waste management and remediation activities",18094,17781,655,8250,-313,more,313,8600
1/1/2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,9656,7547,27506,224383,-2109,more,2109,55887
1/1/2018,Accommodation and food service activities,8227,6139,18690,55838,-2088,more,2088,19999
1/1/2018,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3090,2935,109127,64173,-155,more,155,4690
1/1/2018,Administrative and support service activities,7000,6735,9916,80806,-265,more,265,36853
1/1/2018,"Agriculture, forestry and fishing",0,5195,0,27780,5195,less,5195,27780
1/1/2018,"Arts, entertainment and recreation",21880,20329,940,5158,-1551,more,1551,5897
1/1/2018,Construction,13180,6322,6827,872472,-6858,more,6858,426325
1/1/2018,Education,23653,25650,34125,13201,1997,less,1997,19168
1/1/2018,"Electricity, gas, steam and air conditioning supply",21684,23506,1888,15524,1822,less,1822,15982
1/1/2018,Financial and insurance activities,23639,28533,5321,9348,4894,less,4894,11594
1/1/2018,Human health and social work activities,20233,22877,21160,17359,2644,less,2644,18740
1/1/2018,Information and communication,23342,30696,2729,13064,7354,less,7354,13903
1/1/2018,Manufacturing,15274,9116,2205,149381,-6158,more,6158,123261
1/1/2018,Mining and quarrying,22746,26300,6772,92026,3554,less,3554,77840
1/1/2018,Other service activities,7315,11488,7707,10000,4173,less,4173,8922
1/1/2018,"Professional, scientific and technical activities",13524,19687,2208,15815,6163,less,6163,15584
1/1/2018,Public administration and defence; compulsory social security,24571,29430,14697,63314,4859,less,4859,50410
1/1/2018,Real estate activities,21101,17136,871,9762,-3965,more,3965,10310
1/1/2018,Transportation and storage,19217,14526,10452,53539,-4691,more,4691,39177
1/1/2018,"Water supply; sewerage, waste management and remediation activities",17606,17791,720,6674,185,less,185,7099
1/1/2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,9340,7842,25539,223053,-1498,more,1498,59546
1/1/2019,Accommodation and food service activities,8145,5858,18046,53383,-2287,more,2287,19231
1/1/2019,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3170,3070,110693,66263,-100,more,100,4873
1/1/2019,Administrative and support service activities,7243,6590,9969,77679,-653,more,653,35274
1/1/2019,"Agriculture, forestry and fishing",0,5002,0,32091,5002,less,5002,32091
1/1/2019,"Arts, entertainment and recreation",22158,20652,967,4419,-1506,more,1506,5212
1/1/2019,Construction,13065,6531,5370,875455,-6534,more,6534,486325
1/1/2019,Education,23937,25868,34371,18008,1931,less,1931,21391
1/1/2019,"Electricity, gas, steam and air conditioning supply",21777,23922,2717,15901,2145,less,2145,16500
1/1/2019,Financial and insurance activities,23769,29439,4997,8486,5670,less,5670,10704
1/1/2019,Human health and social work activities,20591,23273,21633,21168,2682,less,2682,20890
1/1/2019,Information and communication,23504,30845,3067,12143,7341,less,7341,13170
1/1/2019,Manufacturing,16030,9594,2164,152731,-6436,more,6436,127572
1/1/2019,Mining and quarrying,23180,24986,6754,78758,1806,less,1806,66931
1/1/2019,Other service activities,7470,11607,7352,11320,4137,less,4137,9827
1/1/2019,"Professional, scientific and technical activities",14987,22294,2273,16422,7307,less,7307,16289
1/1/2019,Public administration and defence; compulsory social security,25230,30321,14893,62332,5091,less,5091,50111
1/1/2019,Real estate activities,21103,17042,1034,9549,-4061,more,4061,10210
1/1/2019,Transportation and storage,18917,14575,10183,65060,-4342,more,4342,46081
1/1/2019,"Water supply; sewerage, waste management and remediation activities",17914,17843,1059,7030,-71,more,71,7640
1/1/2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,8919,7743,24709,223423,-1176,more,1176,60099
1/1/2020,Accommodation and food service activities,7141,6496,15477,71990,-645,more,645,26313
1/1/2020,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3015,3005,97068,66542,-10,more,10,4923
1/1/2020,Administrative and support service activities,4421,6539,33307,150795,2118,less,2118,28442
1/1/2020,"Agriculture, forestry and fishing",0,4766,0,27904,4766,less,4766,27904
1/1/2020,"Arts, entertainment and recreation",22107,20027,1525,8895,-2080,more,2080,9830
1/1/2020,Construction,15342,5817,2930,747905,-9525,more,9525,502517
1/1/2020,Education,23790,25975,34974,19169,2185,less,2185,21821
1/1/2020,"Electricity, gas, steam and air conditioning supply",23167,24726,1764,10522,1559,less,1559,11364
1/1/2020,Financial and insurance activities,24106,27287,5577,16223,3181,less,3181,17561
1/1/2020,Human health and social work activities,20537,22916,26843,48268,2379,less,2379,33308
1/1/2020,Information and communication,23623,30423,3731,17646,6800,less,6800,18299
1/1/2020,Manufacturing,13520,9762,1582,99415,-3758,more,3758,87436
1/1/2020,Mining and quarrying,21918,34363,3653,31720,12445,less,12445,30778
1/1/2020,Other service activities,9006,10121,6300,5807,1115,less,1115,7034
1/1/2020,"Professional, scientific and technical activities",14707,19163,3533,43614,4456,less,4456,39114
1/1/2020,Public administration and defence; compulsory social security,24963,30302,20003,90540,5339,less,5339,64464
1/1/2020,Real estate activities,21604,17003,1218,17455,-4601,more,4601,17732
1/1/2020,Transportation and storage,18373,12015,8449,127616,-6358,more,6358,82513
1/1/2020,"Water supply; sewerage, waste management and remediation activities",17292,19143,332,849,1851,less,1851,1129
1/1/2020,Wholesale and retail trade; repair of motor vehicles and motorcycles,8919,7527,22481,218995,-1392,more,1392,61613
1/1/2021,Accommodation and food service activities,6028,6245,22004,53031,217,less,217,16419
1/1/2021,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3037,3050,96373,64413,13,less,13,4920
1/1/2021,Administrative and support service activities,5328,4460,34126,144639,-868,more,868,21430
1/1/2021,"Agriculture, forestry and fishing",0,4238,0,26657,4238,less,4238,26657
