Year,Economic activity,Female Salary,Male Salary,Female Paid Workers,Male Paid Workers,Salary gap,Women are paid,Absolute gap,Weighted Total
1/1/2026,Human health and social work activities,20855.55,23781.53,40711,45013,2925.9799999999996,less,2925.9799999999996,29764
1/1/2026,Information and communication,24772.91,30951.83,6519,20481,6178.920000000002,less,6178.920000000002,21228
1/1/2026,Manufacturing,16115.67,9844.13,3285,117516,-6271.54,more,6271.540000000001,92145
1/1/2026,Mining and quarrying,23440.12,33263.41,6638,49300,9823.290000000005,less,9823.290000000005,44998
1/1/2026,Other service activities,8756.34,11553.17,5676,12960,2796.83,less,2796.83,11575
1/1/2026,"Professional, scientific and technical activities",15816.98,17049.8,5520,32356,1232.8199999999997,less,1232.8199999999997,28311
1/1/2026,Public administration and defence; compulsory social security,27974.17,32788.24,25683,91193,4814.07,less,4814.07,63425
1/1/2026,Real estate activities,22362.56,15470.16,2446,19168,-6892.4,more,6892.4000000000015,19604
1/1/2026,Transportation and storage,19014.3,12734.4,18978,108259,-6279.9,more,6279.9,54851
1/1/2026,"Water supply; sewerage, waste management and remediation activities",19822.96,23216.09,668,8817,3393.130000000001,less,3393.130000000001,9125
1/1/2026,Wholesale and retail trade; repair of motor vehicles and motorcycles,10084.04,8161.35,29511,217656,-1922.69,more,1922.6900000000005,55052
1/1/2027,Accommodation and food service activities,8795.24,7272.9,21538,65518,-1522.34,more,1522.3400000000001,23114
1/1/2027,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,3103.05,3091.74,97159,65074,-11.31,more,11.31,5014
1/1/2027,Administrative and support service activities,9615.68,5893.92,25283,125748,-3721.76,more,3721.76,31570
1/1/2027,"Agriculture, forestry and fishing",51.91,4742.58,9,35504,4690.67,less,4690.67,35437
1/1/2027,"Arts, entertainment and recreation",23451.07,23434.75,3441,10855,-16.32,more,16.31999999999971,12468
1/1/2027,Construction,15383.44,6224.78,8535,534467,-9158.66,more,9158.66,234301
1/1/2027,Education,25212.67,25941.37,42521,27565,728.7000000000007,less,728.7000000000007,26104
1/1/2027,"Electricity, gas, steam and air conditioning supply",23733.85,26648.56,3160,16556,2914.7100000000028,less,2914.7100000000028,17317
1/1/2027,Financial and insurance activities,28028.27,31499.51,9435,17804,3471.239999999998,less,3471.239999999998,20161
1/1/2027,Human health and social work activities,21236.97,24201.23,38410,42478,2964.2599999999984,less,2964.2599999999984,29447
1/1/2027,Information and communication,25274.21,31492.39,6205,19319,6218.18,less,6218.18,20299
1/1/2027,Manufacturing,16393.66,10011.05,3160,105574,-6382.61,more,6382.610000000001,84178
1/1/2027,Mining and quarrying,23823.99,33720.55,6303,43345,9896.560000000001,less,9896.560000000001,40271
1/1/2027,Other service activities,8865.33,11637.78,5528,12279,2772.4500000000007,less,2772.4500000000007,11180
1/1/2027,"Professional, scientific and technical activities",16049.32,17439.62,5300,29886,1390.2999999999993,less,1390.2999999999993,26661
1/1/2027,Public administration and defence; compulsory social security,28392.52,33201.27,23934,82976,4808.749999999996,less,4808.749999999996,60111
1/1/2027,Real estate activities,22686.95,15832.08,2368,18055,-6854.87,more,6854.870000000001,18658
1/1/2027,Transportation and storage,19333.41,13030.34,18001,100737,-6303.07,more,6303.07,53516
1/1/2027,"Water supply; sewerage, waste management and remediation activities",20170.73,23421.49,662,8311,3250.760000000002,less,3250.760000000002,8637
1/1/2027,Wholesale and retail trade; repair of motor vehicles and motorcycles,10232.69,8251.25,27946,195491,-1981.44,more,1981.4400000000005,52463
